site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
6067,0,72,41,6,42.5
6067,0,90,52,4,33
6067,0,68,42,3,61
6067,0,71,53,3.5,45
6067,0,54,50,10,80
6067,0,69,55,7,74.5
6067,0,83,53,10,36
6067,0,64,47,2,56.5
6067,0,74,40,9,33
6067,0,72,48,5,50
6067,0,68,50,3,57
6067,0,76,49,5,34
6067,0,86,40,10,26
6067,0,70,50,4,58
6067,0,60,35,3,31
6067,0,73,37,11,38
6067,0,73,45,2,38.5
6067,0,87,45,2,25
6067,0,74,51,1,39
6067,0,80,47,3,43
6067,0,63,40,2,28
6067,0,80,49,10,46.9
6067,0,77,53,3,46.83
6067,0,59,45,2,70
6067,0,63,44,4,50.9
6067,0,82.7,49,4,31.5
6067,0,73.5,45,3,34
6067,0,81.5,55,9,58
6067,0,69,31,5,19.5
6067,0,93,60,3,52.5
